JDAY,PO4
141.5,5.55E-04
141.75,5.19E-04
142,5.31E-04
142.25,5.58E-04
142.5,5.30E-04
142.75,5.11E-04
143,5.44E-04
143.25,5.72E-04
143.5,5.46E-04
143.75,5.13E-04
144,5.22E-04
144.25,5.84E-04
144.5,5.59E-04
144.75,5.23E-04
145,5.33E-04
145.25,5.55E-04
145.5,5.24E-04
145.75,4.93E-04
146,5.06E-04
146.25,5.29E-04
146.5,5.01E-04
146.75,4.77E-04
147,5.06E-04
147.25,5.25E-04
147.5,5.02E-04
147.75,5.03E-04
148,5.24E-04
148.25,5.45E-04
148.5,5.19E-04
148.75,5.10E-04
149,5.25E-04
149.25,5.53E-04
149.5,5.23E-04
149.75,5.00E-04
150,5.15E-04
150.25,5.35E-04
150.5,5.07E-04
150.75,4.75E-04
151,4.86E-04
151.25,5.18E-04
151.5,4.98E-04
151.75,4.75E-04
152,5.01E-04
152.25,5.38E-04
152.5,5.19E-04
152.75,5.00E-04
153,5.11E-04
153.25,5.33E-04
153.5,5.05E-04
153.75,4.70E-04
154,4.85E-04
154.25,5.13E-04
154.5,4.88E-04
154.75,4.63E-04
155,4.74E-04
155.25,4.91E-04
155.5,4.64E-04
155.75,4.41E-04
156,4.52E-04
156.25,4.72E-04
156.5,4.51E-04
156.75,4.30E-04
157,4.43E-04
157.25,4.64E-04
157.5,4.40E-04
157.75,4.22E-04
158,4.35E-04
158.25,4.55E-04
158.5,4.35E-04
158.75,4.15E-04
159,4.29E-04
159.25,4.42E-04
159.5,4.23E-04
159.75,4.05E-04
160,4.14E-04
160.25,4.27E-04
160.5,4.19E-04
160.75,4.09E-04
161,4.26E-04
161.25,4.65E-04
161.5,4.50E-04
161.75,4.37E-04
162,4.53E-04
162.25,4.65E-04
162.5,4.39E-04
162.75,4.23E-04
163,4.40E-04
163.25,4.52E-04
163.5,4.44E-04
163.75,4.58E-04
164,4.89E-04
164.25,5.29E-04
164.5,5.20E-04
164.75,5.22E-04
165,5.40E-04
165.25,5.49E-04
165.5,5.27E-04
165.75,5.05E-04
166,5.15E-04
166.25,5.31E-04
166.5,5.04E-04
166.75,4.81E-04
167,4.91E-04
167.25,4.99E-04
167.5,4.79E-04
167.75,4.58E-04
168,4.68E-04
168.25,4.89E-04
168.5,4.63E-04
168.75,4.44E-04
169,4.50E-04
169.25,4.78E-04
169.5,4.85E-04
169.75,4.67E-04
170,4.82E-04
170.25,5.24E-04
170.5,5.04E-04
170.75,4.89E-04
171,5.15E-04
171.25,5.51E-04
171.5,5.35E-04
171.75,5.12E-04
172,5.21E-04
172.25,5.42E-04
172.5,5.25E-04
172.75,5.23E-04
173,5.56E-04
173.25,5.74E-04
173.5,5.93E-04
173.75,5.66E-04
174,5.70E-04
174.25,5.70E-04
174.5,5.48E-04
174.75,5.31E-04
175,5.41E-04
175.25,5.59E-04
175.5,5.36E-04
175.75,5.14E-04
176,5.21E-04
176.25,5.23E-04
176.5,5.04E-04
176.75,5.09E-04
177,5.38E-04
177.25,5.60E-04
177.5,5.43E-04
177.75,5.27E-04
178,5.41E-04
178.25,5.66E-04
178.5,5.60E-04
178.75,5.81E-04
179,6.14E-04
179.25,6.46E-04
179.5,6.28E-04
179.75,6.07E-04
180,6.14E-04
180.25,6.30E-04
180.5,6.00E-04
180.75,5.72E-04
181,5.77E-04
181.25,5.79E-04
181.5,5.48E-04
181.75,5.18E-04
182,5.23E-04
182.25,5.32E-04
182.5,5.09E-04
182.75,4.87E-04
183,4.86E-04
183.25,5.08E-04
183.5,4.71E-04
183.75,4.49E-04
184,4.59E-04
184.25,4.65E-04
184.5,4.50E-04
184.75,4.32E-04
185,4.53E-04
185.25,4.71E-04
185.5,4.61E-04
185.75,4.43E-04
186,4.67E-04
186.25,4.83E-04
186.5,4.63E-04
186.75,4.45E-04
187,4.60E-04
187.25,4.75E-04
187.5,4.53E-04
187.75,4.33E-04
188,4.51E-04
188.25,4.65E-04
188.5,4.48E-04
188.75,4.31E-04
189,4.49E-04
189.25,4.61E-04
189.5,4.46E-04
189.75,4.16E-04
190,4.30E-04
190.25,4.32E-04
190.5,4.16E-04
190.75,4.11E-04
191,4.36E-04
191.25,4.72E-04
191.5,4.50E-04
191.75,4.33E-04
192,4.46E-04
192.25,4.49E-04
192.5,4.35E-04
192.75,4.20E-04
193,4.32E-04
193.25,4.24E-04
193.5,4.12E-04
193.75,3.99E-04
194,4.18E-04
194.25,4.35E-04
194.5,4.23E-04
194.75,4.09E-04
195,4.22E-04
195.25,4.26E-04
195.5,4.05E-04
195.75,4.00E-04
196,4.28E-04
196.25,4.44E-04
196.5,4.31E-04
196.75,3.84E-04
197,4.06E-04
197.25,4.09E-04
197.5,4.06E-04
197.75,4.04E-04
198,4.25E-04
198.25,4.38E-04
198.5,4.26E-04
198.75,4.12E-04
199,4.28E-04
199.25,4.50E-04
199.5,4.39E-04
199.75,4.26E-04
200,4.22E-04
200.25,4.48E-04
200.5,4.45E-04
200.75,4.35E-04
201,5.54E-04
201.25,5.50E-04
201.5,5.55E-04
201.75,5.48E-04
202,5.88E-04
202.25,6.21E-04
202.5,6.00E-04
202.75,6.61E-04
203,7.21E-04
203.25,7.92E-04
203.5,7.57E-04
203.75,7.55E-04
204,7.77E-04
204.25,7.75E-04
204.5,7.16E-04
204.75,6.62E-04
205,6.89E-04
205.25,7.24E-04
205.5,6.78E-04
205.75,6.37E-04
206,6.88E-04
206.25,7.30E-04
206.5,6.74E-04
206.75,6.42E-04
207,7.10E-04
207.25,7.34E-04
207.5,7.08E-04
207.75,6.51E-04
208,6.75E-04
208.25,6.90E-04
208.5,6.36E-04
208.75,5.84E-04
209,7.14E-04
209.25,7.71E-04
209.5,7.11E-04
209.75,6.44E-04
210,6.56E-04
210.25,6.73E-04
210.5,6.25E-04
210.75,5.69E-04
211,5.84E-04
211.25,6.08E-04
211.5,5.58E-04
211.75,5.13E-04
212,5.30E-04
212.25,5.45E-04
212.5,5.05E-04
212.75,4.65E-04
213,4.80E-04
213.25,5.05E-04
213.5,4.70E-04
213.75,4.34E-04
214,4.52E-04
214.25,4.86E-04
214.5,4.53E-04
214.75,4.21E-04
215,4.46E-04
215.25,4.75E-04
215.5,4.38E-04
215.75,4.05E-04
216,4.29E-04
216.25,4.65E-04
216.5,4.45E-04
216.75,4.02E-04
217,4.29E-04
217.25,4.91E-04
217.5,4.53E-04
217.75,4.21E-04
218,4.47E-04
218.25,5.15E-04
218.5,4.86E-04
218.75,4.46E-04
219,4.85E-04
219.25,5.54E-04
219.5,5.22E-04
219.75,4.85E-04
220,5.56E-04
220.25,6.30E-04
220.5,5.82E-04
220.75,5.39E-04
221,6.00E-04
221.25,0.000663617
221.5,6.13E-04
221.75,6.04E-04
222,7.05E-04
222.25,7.82E-04
222.5,7.04E-04
222.75,6.31E-04
223,6.45E-04
223.25,6.80E-04
223.5,6.11E-04
223.75,5.50E-04
224,5.63E-04
224.25,6.02E-04
224.5,5.45E-04
224.75,4.94E-04
225,5.09E-04
225.25,5.60E-04
225.5,5.18E-04
225.75,4.88E-04
226,5.41E-04
226.25,5.97E-04
226.5,5.46E-04
226.75,5.01E-04
227,5.82E-04
